subdomain,http_status
autodiscover.tourism.mlang.gov.ph,"Resolving timed out after 3000 milliseconds"
autodiscover.sanjoseantique.gov.ph,"Resolving timed out after 3002 milliseconds"
cpanel.batac.gov.ph,"200"
cpanel.cawadi.gov.ph,"Could not resolve host: cpanel.cawadi.gov.ph"
cpanel.ckwd.gov.ph,"Could not resolve host: cpanel.ckwd.gov.ph"
cardonarizal.gov.ph,"200"
cpanel.dinagatislands.gov.ph,"Could not resolve host: cpanel.dinagatislands.gov.ph"
cpanel.cityofmeycauayanbulacan.gov.ph,"Could not resolve host: cpanel.cityofmeycauayanbulacan.gov.ph"
cpanel.calinogwaterdistrict.gov.ph,"200"
bohol.gov.ph,"200"
canaman.gov.ph,"403"
cpanel.balangawater.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'cpanel.balangawater.gov.ph'"
cpanel.iqwd.gov.ph,"Could not resolve host: cpanel.iqwd.gov.ph"
balambanwd.gov.ph,"Operation timed out after 3001 milliseconds with 0 bytes received"
balo-i.gov.ph,"Connection timed out after 3001 milliseconds"
banaue.gov.ph,"Resolving timed out after 3000 milliseconds"
cawadi.gov.ph,"200"
barasrizal.gov.ph,"Connection timed out after 3000 milliseconds"
bataan.gov.ph,"Connection timed out after 3002 milliseconds"
baul.i.gov.ph,"Resolving timed out after 3000 milliseconds"
cpanel.eregulations.gov.ph,"Could not resolve host: cpanel.eregulations.gov.ph"
cpanel.cardonarizal.gov.ph,"200"
cpanel.generalnakar.gov.ph,"Could not resolve host: cpanel.generalnakar.gov.ph"
cpanel.asunciondavnor.gov.ph,"Could not resolve host: cpanel.asunciondavnor.gov.ph"
cpanel.hrvclaimsboard.gov.ph,"Could not resolve host: cpanel.hrvclaimsboard.gov.ph"
cpanel.lgu-santol.gov.ph,"Could not resolve host: cpanel.lgu-santol.gov.ph"
cpanel.kabankalanwater.gov.ph,"Could not resolve host: cpanel.kabankalanwater.gov.ph"
careers.immigration.gov.ph,"200"
cpanel.bugasongwd.gov.ph,"200"
cpanel.kabacan.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'cpanel.kabacan.gov.ph'"
cpanel.baganga.gov.ph,"Could not resolve host: cpanel.baganga.gov.ph"
cinemarehiyon9.nabunturan.gov.ph,"200"
billinquiry.baguiowaterdistrict.gov.ph,"Resolving timed out after 3002 milliseconds"
binalonanwaterdistrict.gov.ph,"Resolving timed out after 3001 milliseconds"
cpanel.lguparanas.gov.ph,"Could not resolve host: cpanel.lguparanas.gov.ph"
cebucity.gov.ph,"403"
cpanel.lumc.gov.ph,"Could not resolve host: cpanel.lumc.gov.ph"
cpanel.lakesebu.gov.ph,"Could not resolve host: cpanel.lakesebu.gov.ph"
cpanel.daet.gov.ph,"Could not resolve host: cpanel.daet.gov.ph"
bir-arms.bir.gov.ph,"Resolving timed out after 3001 milliseconds"
cpanel.dinagat.gov.ph,"Could not resolve host: cpanel.dinagat.gov.ph"
birapps.bir.gov.ph,"Resolving timed out after 3001 milliseconds"
blog.mlang.gov.ph,"Resolving timed out after 3001 milliseconds"
cloudmail.treasury.gov.ph,"Could not resolve host: cloudmail.treasury.gov.ph"
cpanel.doncarlos.gov.ph,"Could not resolve host: cpanel.doncarlos.gov.ph"
cpanel.jordanwaterdistrict.gov.ph,"200"
cpanel.luponwd.gov.ph,"Could not resolve host: cpanel.luponwd.gov.ph"
cpanel.lubuagan.gov.ph,"Could not resolve host: cpanel.lubuagan.gov.ph"
cpanel.ilsdole.gov.ph,"Could not resolve host: cpanel.ilsdole.gov.ph"
cpanel.kawit.gov.ph,"Could not resolve host: cpanel.kawit.gov.ph"
cpanel.dinglepototanwd.gov.ph,"200"
bpm-sandbox.apps.gov.ph,"Resolving timed out after 3000 milliseconds"
