subdomain,http_status
www.aduana.gob.cu,Could not resolve host: www.aduana.gob.cu
www.aguadadepasajeros.gob.cu,Operation timed out after 3000 milliseconds with 0 bytes received
www.amppcmg.gob.cu,Could not resolve host: www.amppcmg.gob.cu
www.arroyonaranjo.gob.cu,302
www.artemisa.gob.cu,Operation timed out after 3000 milliseconds with 0 bytes received
www.banes.gob.cu,429
www.bc.gob.cu,200
www.boyeros.gob.cu,Could not resolve host: www.boyeros.gob.cu
www.buenaventura.gob.cu,429
www.bueyarriba.gob.cu,429
www.cabaiguan.gob.cu,Could not resolve host: www.cabaiguan.gob.cu
www.caimanera.gob.cu,429
www.camaguey.gob.cu,Operation timed out after 3001 milliseconds with 0 bytes received
www.cayomambi.gob.cu,429
www.centrohabana.gob.cu,302
www.cerro.gob.cu,Could not resolve host: www.cerro.gob.cu
www.chaparra.gob.cu,Could not resolve host: www.chaparra.gob.cu
www.ciegodeavila.gob.cu,Connection timed out after 3000 milliseconds
www.cienfuegos.gob.cu,Operation timed out after 3000 milliseconds with 0 bytes received
www.cienfueguero.gob.cu,Connection timed out after 3001 milliseconds
www.citmacam.gob.cu,200
www.citmahol.gob.cu,Could not resolve host: www.citmahol.gob.cu
www.citmamatanzas.gob.cu,Could not resolve host: www.citmamatanzas.gob.cu
www.ciudadprimada.gob.cu,429
www.contraloria.gob.cu,Connection timed out after 3002 milliseconds
www.cotorro.gob.cu,Could not resolve host: www.cotorro.gob.cu
www.cruces.gob.cu,429
www.cumanayagua.gob.cu,Operation timed out after 3001 milliseconds with 0 bytes received
www.degranma.gob.cu,Connection timed out after 3001 milliseconds
www.diezdeoctubre.gob.cu,302
www.espirituano.gob.cu,Connection timed out after 3002 milliseconds
www.fgr.gob.cu,Recv failure: Connexion ré-initialisée par le correspondant
www.fomento.gob.cu,Could not resolve host: www.fomento.gob.cu
www.foroempresarial.mincex.gob.cu,Could not resolve host: www.foroempresarial.mincex.gob.cu
www.gacetaoficial.gob.cu,403
www.gibara.gob.cu,Connection timed out after 3002 milliseconds
www.grm.hidro.gob.cu,Could not resolve host: www.grm.hidro.gob.cu
www.guanabacoa.gob.cu,302
www.guantanamo.gob.cu,Connection timed out after 3002 milliseconds
www.habana500.gob.cu,SSL: no alternative certificate subject name matches target hostname 'www.habana500.gob.cu'
www.habanadeleste.gob.cu,302
www.habanavieja.gob.cu,302
www.hidro.gob.cu,301
www.holguin.gob.cu,Connection timed out after 3002 milliseconds
www.icrt.gob.cu,Could not resolve host: www.icrt.gob.cu
www.jatibonico.gob.cu,Could not resolve host: www.jatibonico.gob.cu
www.jobabo.gob.cu,Could not resolve host: www.jobabo.gob.cu
www.lahabana.gob.cu,200
www.lajas.gob.cu,Operation timed out after 3000 milliseconds with 0 bytes received
www.lalisa.gob.cu,Could not resolve host: www.lalisa.gob.cu
www.lasierpe.gob.cu,429
www.lastunas.gob.cu,429
www.majagua.gob.cu,429
www.majibacoa.gob.cu,Could not resolve host: www.majibacoa.gob.cu
www.manati.gob.cu,429
www.marianao.gob.cu,302
www.matanceros.gob.cu,429
www.mayari.gob.cu,429
www.mayaweb.gob.cu,Could not resolve host: www.mayaweb.gob.cu
www.mep.gob.cu,301
www.mes.gob.cu,Resolving timed out after 3001 milliseconds
www.micons.gob.cu,403
www.miguantanamo.gob.cu,Could not resolve host: www.miguantanamo.gob.cu
www.minag.gob.cu,200
www.mincex.gob.cu,Could not resolve host: www.mincex.gob.cu
www.mincin.gob.cu,301
www.mincom.gob.cu,403
www.mincult.gob.cu,Could not resolve host: www.mincult.gob.cu
www.mindus.gob.cu,301
www.mined.gob.cu,Could not resolve host: www.mined.gob.cu
www.minem.gob.cu,200
www.minfar.gob.cu,Connection timed out after 3001 milliseconds
www.ministeriodecultura.gob.cu,Could not resolve host: www.ministeriodecultura.gob.cu
