domain,level,name
hainan.gov.cn,central-1,Hainan
haojiang.gov.cn,local,Haojiang district (Shantou)
haopinheze.gov.cn,local,Heze city promotion portal (Shandong)
harbin.gov.cn,local,Harbin city (Heilongjiang)
hazz-l-tax.gov.cn,local,Zhengzhou Local Taxation (Henan)
heao.gov.cn,central-1,Henan Admissions Office
hebei.gov.cn,central-1,Hebei
henan.gov.cn,central-1,Henan
henanga.gov.cn,central-1,Henan Public Security Department
hengqin.gov.cn,local,Hengqin New Area (Zhuhai)
hengshan.gov.cn,local,Hengshan county (Hunan)
heyuan.gov.cn,local,Heyuan city (Guangdong)
heyuansfj.gov.cn,local,Heyuan Justice Bureau
hhhtchs.gov.cn,local,Hohhot urban construction (Inner Mongolia)
hitax.gov.cn,central-1,Hainan Local Taxation Bureau
hlbrga.gov.cn,local,Hulunbuir Public Security Bureau
hlj.gov.cn,central-1,Heilongjiang
hljcredit.gov.cn,central-1,Heilongjiang Credit Platform
hljedu.gov.cn,central-1,Heilongjiang Education Department
hljga.gov.cn,central-1,Heilongjiang Public Security Department
hljggzyjyw.gov.cn,central-1,Heilongjiang Public Resources Trading Network
hljwht.gov.cn,central-1,Heilongjiang Culture Department
hnzwfw.gov.cn,central-1,Henan Government Service Network
hrbga.gov.cn,local,Harbin Public Security Bureau
huaianwjw.gov.cn,local,Huai'an Health and Family Planning Commission
hubei.gov.cn,central-1,Hubei
huiyang.gov.cn,local,Huiyang district (Huizhou)
huizhou.gov.cn,local,Huizhou city (Guangdong)
huli.gov.cn,local,Huli district (Xiamen)
hunan.gov.cn,central-1,Hunan
hunanjs.gov.cn,central-1,Hunan Department of Construction
huzhoujsw.gov.cn,local,Huzhou Construction Commission
hzfc.gov.cn,local,Hangzhou Real Estate Administration
ibinhai.gov.cn,local,Binhai New Area portal (Tianjin)
investbeijing.gov.cn,central-1,Beijing Investment Promotion (Invest Beijing)
ixiamen.gov.cn,local,Xiamen city portal
ixm.gov.cn,local,Xiamen city portal (variant)
jh8890.gov.cn,local,Jinhua 8890 hotline (Zhejiang)
jhga.gov.cn,local,Jinhua Public Security Bureau
jiading.gov.cn,local,Jiading district (Shanghai)
jian.gov.cn,local,Ji'an city (Jiangxi)
jiangsu.gov.cn,central-1,Jiangsu
jiangxi.gov.cn,central-1,Jiangxi
jiangxia.gov.cn,local,Jiangxia district (Wuhan)
jiangyou.gov.cn,local,Jiangyou city (Sichuan)
jimei.gov.cn,local,Jimei district (Xiamen)
jingan.gov.cn,local,Jing'an district (Shanghai)
jingmen.gov.cn,local,Jingmen city (Hubei)
jinjiang.gov.cn,local,Jinjiang city (Fujian)
jinqiao.gov.cn,local,Jinqiao area - Pudong (Shanghai)
jiyuan.gov.cn,local,Jiyuan city (Henan)
jl.gov.cn,central-1,Jilin
jljt.gov.cn,central-1,Jilin Transportation Department
jlta.gov.cn,central-1,Jilin Tourism Administration
jm.gov.cn,local,Jiangmen city (Guangdong)
jnfda.gov.cn,local,Jinan Food and Drug Administration
js-l-tax.gov.cn,central-1,Jiangsu Local Taxation
js.gov.cn,central-1,Jiangsu (variant domain)
jsds.gov.cn,central-1,Jiangsu Local Taxation Bureau
jsfpc.gov.cn,central-1,Jiangsu Population and Family Planning Commission
jsga.gov.cn,central-1,Jiangsu Public Security Department
jsgsj.gov.cn,central-1,Jiangsu Administration for Industry and Commerce
jshb.gov.cn,central-1,Jiangsu Environmental Protection Department
jssi.gov.cn,central-1,Jiangsu Social Insurance
jsszhrss.gov.cn,local,Suzhou Human Resources and Social Security (Jiangsu)
jswjw.gov.cn,central-1,Jiangsu Health and Family Planning Commission
jsws.gov.cn,central-1,Jiangsu Health Department
jsxzhrss.gov.cn,local,Xuzhou Human Resources and Social Security (Jiangsu)
jsychrss.gov.cn,local,Yancheng Human Resources and Social Security (Jiangsu)
jszwfw.gov.cn,central-1,Jiangsu Government Services
jx.gov.cn,central-1,Jiangxi (variant domain)
jxedu.gov.cn,central-1,Jiangxi Education Department
jxwater.gov.cn,central-1,Jiangxi Water Resources Department
jzgabmfw.gov.cn,local,Jinzhong public security services (Shanxi)
kazuo.gov.cn,local,Harqin Left Wing (Kazuo) county (Liaoning)
km.gov.cn,local,Kunming city (Yunnan)
ks.gov.cn,local,Kunshan city (Jiangsu)
kswjw.gov.cn,local,Kunshan Health and Family Planning Commission
leizhou.gov.cn,local,Leizhou city (Guangdong)
lfgabmfw.gov.cn,local,Linfen public security services (Shanxi)
lg.gov.cn,local,Longgang district (Shenzhen)
liangjiang.gov.cn,local,Liangjiang New Area (Chongqing)
lianhu.gov.cn,local,Lianhu district (Xi'an)
lintao.gov.cn,local,Lintao county (Gansu)
liuzhou.gov.cn,local,Liuzhou city (Guangxi)
llgabmfw.gov.cn,local,Lvliang public security services (Shanxi)
ln.gov.cn,central-1,Liaoning
lntj.gov.cn,central-1,Liaoning Statistics Bureau
longmen.gov.cn,local,Longmen county (Huizhou)
longwan.gov.cn,local,Longwan district (Wenzhou)
lsrenkou.gov.cn,local,Liangshan population and family planning (Sichuan)
luan.gov.cn,local,Lu'an city (Anhui)
luannan.gov.cn,local,Luannan county (Hebei)
lucheng.gov.cn,local,Lucheng district (Wenzhou)
lueyang.gov.cn,local,Lueyang county (Shaanxi)
lujiazui.gov.cn,local,Lujiazui area - Pudong (Shanghai)
luohu.gov.cn,local,Luohu district (Shenzhen)
majiang.gov.cn,local,Majiang county (Guizhou)
maoming.gov.cn,local,Maoming city (Guangdong)
mas.gov.cn,local,Ma'anshan city (Anhui)
masgjj.gov.cn,local,Ma'anshan Housing Provident Fund
meilan.gov.cn,local,Meilan district (Haikou)
meizhou.gov.cn,local,Meizhou city (Guangdong)
my.gov.cn,local,Mianyang city (Sichuan)
myedu.gov.cn,local,Mianyang Education Bureau
nanhai.gov.cn,local,Nanhai district (Foshan)
nanhui.gov.cn,local,Nanhui former district (Shanghai)
nbedu.gov.cn,local,Ningbo Education Bureau
nbfet.gov.cn,local,Ningbo Foreign Trade and Economic Cooperation Bureau
nbhrss.gov.cn,local,Ningbo Human Resources and Social Security Bureau
nbjt.gov.cn,local,Ningbo Transportation Commission
nbsti.gov.cn,local,Ningbo Science and Technology Bureau
ncedu.gov.cn,local,Nanchang Education Bureau
ningbo.gov.cn,local,Ningbo city (Zhejiang)
ningxiadata.gov.cn,central-1,Ningxia Big Data Bureau
njfcj.gov.cn,local,Nanjing Real Estate Bureau
njga.gov.cn,local,Nanjing Public Security Bureau
nmg.gov.cn,central-1,Inner Mongolia
nndsj.gov.cn,local,Nanning Local Taxation Bureau
nngaj.gov.cn,local,Nanning Public Security Bureau
nx.gov.cn,central-1,Ningxia
nxzwfw.gov.cn,central-1,Ningxia Government Services
pdagri.gov.cn,local,Pudong agriculture (Shanghai)
pingtan.gov.cn,local,Pingtan comprehensive experimental zone (Fujian)
pudong.gov.cn,local,Pudong New Area (Shanghai)
putian.gov.cn,local,Putian city (Fujian)
qdda.gov.cn,local,Qingdao Archives
qdds.gov.cn,local,Qingdao Local Taxation Bureau
qdjt.gov.cn,local,Qingdao Transportation Commission
qianjiang.gov.cn,local,Qianjiang city (Hubei)
qiannancourt.gov.cn,local,Qiannan prefecture courts (Guizhou)
qingdao.gov.cn,local,Qingdao city (Shandong)
qingdaoshibei.gov.cn,local,Shibei district (Qingdao)
qinghai.gov.cn,central-1,Qinghai
qinzhou.gov.cn,local,Qinzhou city (Guangxi)
qzga.gov.cn,local,Quanzhou Public Security Bureau
qzsfj.gov.cn,local,Quanzhou Justice Bureau
rongshui.gov.cn,local,Rongshui county (Guangxi)
ruian.gov.cn,local,Rui'an city (Zhejiang)
sanya.gov.cn,local,Sanya city (Hainan)
sanyatour.gov.cn,local,Sanya Tourism
sc-l-tax.gov.cn,central-1,Sichuan Local Taxation
sc.gov.cn,central-1,Sichuan
scaudit.gov.cn,central-1,Sichuan Audit Office
scga.gov.cn,central-1,Sichuan Public Security Department
scofcom.gov.cn,central-1,Sichuan Department of Commerce
scpta.gov.cn,central-1,Sichuan Personnel Testing Authority
scsafety.gov.cn,central-1,Sichuan Work Safety Administration
scta.gov.cn,central-1,Sichuan Tourism Administration
sctianfu.gov.cn,local,Tianfu New Area (Sichuan)
scwater.gov.cn,central-1,Sichuan Water Resources Department
sd.gov.cn,central-1,Shandong (variant domain)
sepb.gov.cn,central-1,Shanghai Environmental Protection Bureau
sg.gov.cn,local,Shaoguan city (Guangdong)
sgsfda.gov.cn,local,Shaoguan Food and Drug Administration
sh.gov.cn,central-1,Shanghai (variant domain)
shaanxi.gov.cn,central-1,Shaanxi
shagri.gov.cn,central-1,Shanghai Agriculture Commission
shandong.gov.cn,central-1,Shandong
shanghai.gov.cn,central-1,Shanghai
shanghailaw.gov.cn,central-1,Shanghai Legal Publicity Office
shanghaiwater.gov.cn,central-1,Shanghai Water Authority
shantou.gov.cn,local,Shantou city (Guangdong)
shanxi.gov.cn,central-1,Shanxi
shdrc.gov.cn,central-1,Shanghai Development and Reform Commission
sheitc.gov.cn,central-1,Shanghai Economy and Informatization Commission
shenzhen.gov.cn,local,Shenzhen city (Guangdong)
shfao.gov.cn,central-1,Shanghai Foreign Affairs Office
shfda.gov.cn,central-1,Shanghai Food and Drug Administration
shftz.gov.cn,local,Shanghai Free Trade Zone (variant)
shgrain.gov.cn,central-1,Shanghai Grain Bureau
shgtj.gov.cn,central-1,Shanghai Land and Resources Bureau
shgzw.gov.cn,central-1,Shanghai SASAC
shiguai.gov.cn,local,Shiguai district (Baotou)
shmec.gov.cn,central-1,Shanghai Education Commission
shmh.gov.cn,local,Minhang district (Shanghai)
shmzj.gov.cn,central-1,Shanghai Civil Affairs Bureau
shouguang.gov.cn,local,Shouguang city (Shandong)
shpt.gov.cn,local,Putuo district (Shanghai)
shqp.gov.cn,local,Qingpu district (Shanghai)
shsafety.gov.cn,central-1,Shanghai Work Safety Administration
shsports.gov.cn,central-1,Shanghai Sports Bureau
shunde.gov.cn,local,Shunde district (Foshan)
shyp.gov.cn,local,Yangpu district (Shanghai)
shz.gov.cn,local,Shihezi city (Xinjiang)
sihui.gov.cn,local,Sihui city (Guangdong)
sipa.gov.cn,local,Suzhou Industrial Park
sipac.gov.cn,local,Suzhou Industrial Park Administrative Committee
sjzfgw.gov.cn,local,Shijiazhuang Development and Reform Commission
sm.gov.cn,local,Sanming city (Fujian)
snedu.gov.cn,central-1,Shaanxi Education Department
snxunyi.gov.cn,local,Xunyi county (Shaanxi)
songjiang.gov.cn,local,Songjiang district (Shanghai)
stats-sh.gov.cn,central-1,Shanghai Statistics Bureau
stcsm.gov.cn,central-1,Shanghai Science and Technology Commission
suzhou.gov.cn,local,Suzhou city (Jiangsu)
sx.gov.cn,local,Shaoxing city (Zhejiang)
sxga.gov.cn,central-1,Shanxi Public Security Department
sz.gov.cn,local,Shenzhen city (Guangdong)
sz12333.gov.cn,local,Shenzhen 12333 social security hotline
szaic.gov.cn,local,Shenzhen Administration for Industry and Commerce
szds.gov.cn,local,Shenzhen Local Taxation Bureau
szft.gov.cn,local,Futian district (Shenzhen)
szga.gov.cn,local,Shenzhen Public Security Bureau
szgabmfw.gov.cn,local,Shuozhou public security services (Shanxi)
szgjj.gov.cn,local,Shenzhen Housing Provident Fund
szlh.gov.cn,local,Longhua district (Shenzhen)
szlhfy.gov.cn,local,Longhua district court (Shenzhen)
szltax.gov.cn,local,Shenzhen Local Taxation
szmb.gov.cn,local,Shenzhen Meteorological Bureau
sznet110.gov.cn,local,Shenzhen internet police 110
szns.gov.cn,local,Nanshan district (Shenzhen)
szrd.gov.cn,local,Shenzhen Municipal People's Congress
szscjg.gov.cn,local,Shenzhen Market Regulation
szsi.gov.cn,local,Shenzhen Social Insurance
szsti.gov.cn,local,Shenzhen Science and Technology Innovation Commission
taicang.gov.cn,local,Taicang city (Jiangsu)
taiyuan.gov.cn,local,Taiyuan city (Shanxi)
taizhou.gov.cn,local,Taizhou city
teda.gov.cn,local,Tianjin Economic-Technological Development Area (TEDA)
tianjindangjian.gov.cn,central-1,Tianjin Party Building
tj.gov.cn,central-1,Tianjin
tjftz.gov.cn,local,Tianjin Free Trade Zone
tjgaj.gov.cn,central-1,Tianjin Public Security Bureau
tjny.gov.cn,central-1,Tianjin Agriculture Commission
tjtyj.gov.cn,central-1,Tianjin Sports Bureau
tjzzb.gov.cn,central-1,Tianjin Organization Department
tongchuanhrss.gov.cn,local,Tongchuan Human Resources and Social Security (Shaanxi)
ts.gov.cn,local,Tangshan city (Hebei)
tygabmfw.gov.cn,local,Taiyuan public security services (Shanxi)
tz110.gov.cn,local,Taizhou 110 public security
tzxzsp.gov.cn,local,Taizhou administrative approval
wenzhou.gov.cn,local,Wenzhou city (Zhejiang)
whcrj.gov.cn,local,Wuhan Exit-Entry Administration
whfpb.gov.cn,local,Wuhan Family Planning Bureau
whga.gov.cn,local,Wuhan Public Security Bureau
whhealth.gov.cn,local,Wuhan Health Bureau
whws.gov.cn,local,Wuhan Health Bureau (variant)
wlmqedu.gov.cn,local,Urumqi Education Bureau (Xinjiang)
wuhan.gov.cn,local,Wuhan city (Hubei)
wuling.gov.cn,local,Wuling district (Changde)
wuxi.gov.cn,local,Wuxi city (Jiangsu)
wxhealth.gov.cn,local,Wuxi Health Bureau
wxhrss.gov.cn,local,Wuxi Human Resources and Social Security Bureau
wxxzfwzx.gov.cn,local,Wuxi Administrative Service Center
wzdj.gov.cn,local,Wenzhou party building
wzga.gov.cn,local,Wenzhou Public Security Bureau
wzhrss.gov.cn,local,Wenzhou Human Resources and Social Security Bureau
xa-police.gov.cn,local,Xi'an Public Security Bureau
xads.gov.cn,local,Xi'an Local Taxation Bureau
xihu.gov.cn,local,Xihu district (Hangzhou)
xinjiang.gov.cn,central-1,Xinjiang
xiongan.gov.cn,local,Xiong'an New Area (Hebei)
xizang.gov.cn,central-1,Tibet (Xizang)
xj-l-tax.gov.cn,central-1,Xinjiang Local Taxation
xjbt.gov.cn,central-1,Xinjiang Production and Construction Corps
xm-l-tax.gov.cn,local,Xiamen Local Taxation
xm.gov.cn,local,Xiamen city (Fujian)
xmhrss.gov.cn,local,Xiamen Human Resources and Social Security Bureau
xmta.gov.cn,local,Xiamen Tourism Administration
xmtravel.gov.cn,local,Xiamen tourism portal
xuecheng.gov.cn,local,Xuecheng district (Zaozhuang)
xuhui.gov.cn,local,Xuhui district (Shanghai)
yaan.gov.cn,local,Ya'an city (Sichuan)
yangzhou.gov.cn,local,Yangzhou city (Jiangsu)
ycgabmfw.gov.cn,local,Yuncheng public security services (Shanxi)
yiyang.gov.cn,local,Yiyang city (Hunan)
yizheng.gov.cn,local,Yizheng city (Jiangsu)
yn.gov.cn,central-1,Yunnan
yqgabmfw.gov.cn,local,Yangquan public security services (Shanxi)
ytga.gov.cn,local,Yantai Public Security Bureau
yuanan.gov.cn,local,Yuan'an county (Hubei)
yueqing.gov.cn,local,Yueqing city (Zhejiang)
yuhang.gov.cn,local,Yuhang district (Hangzhou)
yunyang.gov.cn,local,Yunyang county (Chongqing)
yw.gov.cn,local,Yiwu city (Zhejiang)
zgc.gov.cn,local,Zhongguancun Science Park (Beijing)
zh.gov.cn,local,Zhuhai city (Guangdong)
zh12345.gov.cn,local,Zhuhai 12345 hotline
zhanjiang.gov.cn,local,Zhanjiang city (Guangdong)
zhengzhou.gov.cn,local,Zhengzhou city (Henan)
zhltax.gov.cn,local,Zhuhai Local Taxation
zhscjg.gov.cn,local,Zhuhai Market Regulation
zhuhai.gov.cn,local,Zhuhai city (Guangdong)
zj.gov.cn,central-1,Zhejiang
zjagri.gov.cn,central-1,Zhejiang Department of Agriculture
zjczj.gov.cn,central-1,Zhejiang Department of Finance
zjds.gov.cn,central-1,Zhejiang Local Taxation Bureau
zjedu.gov.cn,central-1,Zhejiang Education Department
zjgdj.gov.cn,local,Zhangjiagang party building (Jiangsu)
zjhrss.gov.cn,central-1,Zhejiang Human Resources and Social Security Department
zjkwmw.gov.cn,local,Zhangjiakou civilization network (Hebei)
zjsafety.gov.cn,central-1,Zhejiang Work Safety Administration
zjwjw.gov.cn,central-1,Zhejiang Health and Family Planning Commission
zjzwfw.gov.cn,central-1,Zhejiang Government Services
zqsi.gov.cn,local,Zhaoqing Social Insurance
zs.gov.cn,local,Zhongshan city (Guangdong)
zunyiyj.gov.cn,local,Zunyi Emergency Management (Guizhou)
