domain,level,source,name
gdep.gov.cn,central-1,manual,Guangdong Environmental Protection Department
gdepb.gov.cn,central-1,manual,Guangdong Environmental Protection Bureau
gdfda.gov.cn,central-1,manual,Guangdong Food and Drug Administration
gdga.gov.cn,central-1,manual,Guangdong Public Security Department
gdgpo.gov.cn,central-1,manual,Guangdong Government Procurement Office
gdqts.gov.cn,central-1,manual,Guangdong Quality and Technical Supervision
gdsf.gov.cn,central-1,manual,Guangdong Department of Justice
gdta.gov.cn,central-1,manual,Guangdong Tourism Administration
gdwst.gov.cn,central-1,manual,Guangdong Health Department
gov.cn,central,manual,
gs12333.gov.cn,central-1,manual,Gansu 12333 social security hotline
guizhou.gov.cn,central-1,manual,Guizhou
gxaudit.gov.cn,central-1,manual,Guangxi Audit Office
gxdlr.gov.cn,central-1,manual,Guangxi Department of Land and Resources
gxdx.gov.cn,central-1,manual,Guangxi Local Taxation Bureau
gxfgjj.gov.cn,central-1,manual,Guangxi Housing Provident Fund
gxhrss.gov.cn,central-1,manual,Guangxi Human Resources and Social Security Department
gxi.gov.cn,central-1,manual,Guangxi (former portal domain)
gxrd.gov.cn,central-1,manual,Guangxi People's Congress
gxst.gov.cn,central-1,manual,Guangxi Science and Technology Department
gxwater.gov.cn,central-1,manual,Guangxi Water Resources Department
gxxf.gov.cn,central-1,manual,Guangxi Petition (Xinfang) Bureau
gxzf.gov.cn,central-1,manual,Guangxi
ha-l-tax.gov.cn,central-1,manual,Henan Local Taxation
haagri.gov.cn,central-1,manual,Henan Department of Agriculture
hahrss.gov.cn,central-1,manual,Henan Human Resources and Social Security Department
hainan.gov.cn,central-1,manual,Hainan
heao.gov.cn,central-1,manual,Henan Admissions Office
hebei.gov.cn,central-1,manual,Hebei
henan.gov.cn,central-1,manual,Henan
henanga.gov.cn,central-1,manual,Henan Public Security Department
hitax.gov.cn,central-1,manual,Hainan Local Taxation Bureau
hlj.gov.cn,central-1,manual,Heilongjiang
hljcredit.gov.cn,central-1,manual,Heilongjiang Credit Platform
hljedu.gov.cn,central-1,manual,Heilongjiang Education Department
hljga.gov.cn,central-1,manual,Heilongjiang Public Security Department
hljggzyjyw.gov.cn,central-1,manual,Heilongjiang Public Resources Trading Network
hljwht.gov.cn,central-1,manual,Heilongjiang Culture Department
hnzwfw.gov.cn,central-1,manual,Henan Government Service Network
hubei.gov.cn,central-1,manual,Hubei
hunan.gov.cn,central-1,manual,Hunan
hunanjs.gov.cn,central-1,manual,Hunan Department of Construction
investbeijing.gov.cn,central-1,manual,Beijing Investment Promotion (Invest Beijing)
jiangsu.gov.cn,central-1,manual,Jiangsu
jiangxi.gov.cn,central-1,manual,Jiangxi
jl.gov.cn,central-1,manual,Jilin
jljt.gov.cn,central-1,manual,Jilin Transportation Department
jlta.gov.cn,central-1,manual,Jilin Tourism Administration
js-l-tax.gov.cn,central-1,manual,Jiangsu Local Taxation
js.gov.cn,central-1,manual,Jiangsu (variant domain)
jsds.gov.cn,central-1,manual,Jiangsu Local Taxation Bureau
jsfpc.gov.cn,central-1,manual,Jiangsu Population and Family Planning Commission
jsga.gov.cn,central-1,manual,Jiangsu Public Security Department
jsgsj.gov.cn,central-1,manual,Jiangsu Administration for Industry and Commerce
jshb.gov.cn,central-1,manual,Jiangsu Environmental Protection Department
jssi.gov.cn,central-1,manual,Jiangsu Social Insurance
jswjw.gov.cn,central-1,manual,Jiangsu Health and Family Planning Commission
jsws.gov.cn,central-1,manual,Jiangsu Health Department
jszwfw.gov.cn,central-1,manual,Jiangsu Government Services
jx.gov.cn,central-1,manual,Jiangxi (variant domain)
jxedu.gov.cn,central-1,manual,Jiangxi Education Department
jxwater.gov.cn,central-1,manual,Jiangxi Water Resources Department
ln.gov.cn,central-1,manual,Liaoning
lntj.gov.cn,central-1,manual,Liaoning Statistics Bureau
ningxiadata.gov.cn,central-1,manual,Ningxia Big Data Bureau
nmg.gov.cn,central-1,manual,Inner Mongolia
nx.gov.cn,central-1,manual,Ningxia
nxzwfw.gov.cn,central-1,manual,Ningxia Government Services
qinghai.gov.cn,central-1,manual,Qinghai
sc-l-tax.gov.cn,central-1,manual,Sichuan Local Taxation
sc.gov.cn,central-1,manual,Sichuan
scaudit.gov.cn,central-1,manual,Sichuan Audit Office
scga.gov.cn,central-1,manual,Sichuan Public Security Department
scofcom.gov.cn,central-1,manual,Sichuan Department of Commerce
scpta.gov.cn,central-1,manual,Sichuan Personnel Testing Authority
scsafety.gov.cn,central-1,manual,Sichuan Work Safety Administration
scta.gov.cn,central-1,manual,Sichuan Tourism Administration
scwater.gov.cn,central-1,manual,Sichuan Water Resources Department
sd.gov.cn,central-1,manual,Shandong (variant domain)
sepb.gov.cn,central-1,manual,Shanghai Environmental Protection Bureau
sh.gov.cn,central-1,manual,Shanghai (variant domain)
shaanxi.gov.cn,central-1,manual,Shaanxi
shagri.gov.cn,central-1,manual,Shanghai Agriculture Commission
shandong.gov.cn,central-1,manual,Shandong
shanghai.gov.cn,central-1,manual,Shanghai
shanghailaw.gov.cn,central-1,manual,Shanghai Legal Publicity Office
shanghaiwater.gov.cn,central-1,manual,Shanghai Water Authority
shanxi.gov.cn,central-1,manual,Shanxi
shdrc.gov.cn,central-1,manual,Shanghai Development and Reform Commission
sheitc.gov.cn,central-1,manual,Shanghai Economy and Informatization Commission
shfao.gov.cn,central-1,manual,Shanghai Foreign Affairs Office
shfda.gov.cn,central-1,manual,Shanghai Food and Drug Administration
shgrain.gov.cn,central-1,manual,Shanghai Grain Bureau
shgtj.gov.cn,central-1,manual,Shanghai Land and Resources Bureau
shgzw.gov.cn,central-1,manual,Shanghai SASAC
shmec.gov.cn,central-1,manual,Shanghai Education Commission
shmzj.gov.cn,central-1,manual,Shanghai Civil Affairs Bureau
shsafety.gov.cn,central-1,manual,Shanghai Work Safety Administration
shsports.gov.cn,central-1,manual,Shanghai Sports Bureau
snedu.gov.cn,central-1,manual,Shaanxi Education Department
stats-sh.gov.cn,central-1,manual,Shanghai Statistics Bureau
stcsm.gov.cn,central-1,manual,Shanghai Science and Technology Commission
sxga.gov.cn,central-1,manual,Shanxi Public Security Department
tianjindangjian.gov.cn,central-1,manual,Tianjin Party Building
tj.gov.cn,central-1,manual,Tianjin
tjgaj.gov.cn,central-1,manual,Tianjin Public Security Bureau
tjny.gov.cn,central-1,manual,Tianjin Agriculture Commission
tjtyj.gov.cn,central-1,manual,Tianjin Sports Bureau
tjzzb.gov.cn,central-1,manual,Tianjin Organization Department
xinjiang.gov.cn,central-1,manual,Xinjiang
xizang.gov.cn,central-1,manual,Tibet (Xizang)
xj-l-tax.gov.cn,central-1,manual,Xinjiang Local Taxation
xjbt.gov.cn,central-1,manual,Xinjiang Production and Construction Corps
yn.gov.cn,central-1,manual,Yunnan
zj.gov.cn,central-1,manual,Zhejiang
zjagri.gov.cn,central-1,manual,Zhejiang Department of Agriculture
zjczj.gov.cn,central-1,manual,Zhejiang Department of Finance
zjds.gov.cn,central-1,manual,Zhejiang Local Taxation Bureau
zjedu.gov.cn,central-1,manual,Zhejiang Education Department
zjhrss.gov.cn,central-1,manual,Zhejiang Human Resources and Social Security Department
zjsafety.gov.cn,central-1,manual,Zhejiang Work Safety Administration
zjwjw.gov.cn,central-1,manual,Zhejiang Health and Family Planning Commission
zjzwfw.gov.cn,central-1,manual,Zhejiang Government Services
