subdomain,mx
tnumerique.gouv.bj,none
tourisme.gouv.bj,none
tpmepe.gouv.bj,none
tpspdb.plan.gouv.bj,none
transfert.dei.gouv.bj,none
travail.gouv.bj,none
tsa-pki.gouv.bj,none
tsante.gouv.bj,none
tsocial.gouv.bj,none
tsuivi-pag.gouv.bj,none
ttravail.gouv.bj,none
tx-pki.gouv.bj,none
txcert-pki.gouv.bj,none
uat.guce.gouv.bj,none
uatsso.guce.gouv.bj,none
vacciform.gouv.bj,none
verification-anatt.gouv.bj,none
web03.gouv.bj,none
www.acaib.social.gouv.bj,none
www.admin.sitetest.agriculture.gouv.bj,none
www.admindpp.agriculture.gouv.bj,none
www.admindsa.agriculture.gouv.bj,none
www.adminfnda.agriculture.gouv.bj,none
www.adminsgm.agriculture.gouv.bj,none
www.adminstpcnos.agriculture.gouv.bj,none
www.agriculture.gouv.bj,0 agriculture-gouv-bj.mail.protection.outlook.com.
www.alafia.gouv.bj,none
www.anapi.gouv.bj,none
www.ansr.gouv.bj,none
www.api.bibliotheque.social.gouv.bj,none
www.api.courrier.travail.gouv.bj,none
www.api.formation.gouv.bj,none
www.api.maindoeuvre.gouv.bj,none
www.api.managemtfp.gouv.bj,none
www.api.sanctionpublic.gouv.bj,none
www.api.simrhmasm.social.gouv.bj,none
www.api.sitetest.agriculture.gouv.bj,none
www.apicnhu.gouv.bj,none
www.apidpp.agriculture.gouv.bj,none
www.apidsa.agriculture.gouv.bj,none
www.apifnda.agriculture.gouv.bj,none
www.apisgm.agriculture.gouv.bj,none
www.apistpcnos.agriculture.gouv.bj,none
www.artisanat.gouv.bj,none
www.ask.gouv.bj,none
www.back.guvmtfp.gouv.bj,none
www.bibliotheque.social.gouv.bj,none
www.bip.gouv.bj,none
www.bip.plan.gouv.bj,none
www.cadredevie.gouv.bj,none
www.carrieres.gouv.bj,none
www.carrieres.travail.gouv.bj,none
www.cnhu.gouv.bj,none
www.cnls-tp.gouv.bj,none
www.commerce.gouv.bj,none
www.communication.gouv.bj,none
www.compendiumbj.social.gouv.bj,none
www.competencesfemmesbenin.social.gouv.bj,none
www.concours.enseignementsuperieur.gouv.bj,none
www.concourspublic.gouv.bj,none
www.construireaubenin.gouv.bj,none
www.cooperation.enseignementsuperieur.gouv.bj,none
www.courrier.energie.gouv.bj,none
www.courrier.tourisme.gouv.bj,none
www.courrier.travail.gouv.bj,none
www.csirt.gouv.bj,0 csirt-gouv-bj.mail.protection.outlook.com.
www.culture.gouv.bj,none
www.decentralisation.gouv.bj,10 mail.gouv.bj.
