subdomain,http_status
cati.museus.gov.br,"SSL certificate problem: unable to get local issuer certificate"
cav.receita.fazenda.gov.br,"SSL certificate problem: unable to get local issuer certificate"
caninde.se.gov.br,"200"
bm.rs.gov.br,"303"
capes.gov.br,"302"
alexania.go.gov.br,"HTTP/2 stream 1 was not closed cleanly: PROTOCOL_ERROR (err 1)"
autodiscover.cmb.gov.br,"Failed to connect to autodiscover.cmb.gov.br port 443 after 1802 ms: Could not connect to server"
carimbodotempo.serpro.gov.br,"SSL certificate problem: unable to get local issuer certificate"
cartaobndes.gov.br,"Could not resolve host: cartaobndes.gov.br"
clippingmphistorico.planejamento.gov.br,"Could not resolve host: clippingmphistorico.planejamento.gov.br"
ccd2.serpro.gov.br,"SSL certificate problem: unable to get local issuer certificate"
brasilcord.inca.gov.br,"301"
certuni.casadamoeda.gov.br,"Could not resolve host: certuni.casadamoeda.gov.br"
bomjardim.pe.gov.br,"200"
camara.gov.br,"302"
caieiras.sp.gov.br,"200"
chat.sp.gov.br,"Could not resolve host: chat.sp.gov.br"
ccd.serpro.gov.br,"SSL certificate problem: unable to get local issuer certificate"
chat01.webgov.sp.gov.br,"Could not resolve host: chat01.webgov.sp.gov.br"
brigadamilitar.rs.gov.br,"303"
bnb.gov.br,"200"
citrix.cetem.gov.br,"Could not resolve host: citrix.cetem.gov.br"
cidadesweb.tce.es.gov.br,"Could not resolve host: cidadesweb.tce.es.gov.br"
caras.presidencia.gov.br,"302"
certificados.serpro.gov.br,"SSL certificate problem: unable to get local issuer certificate"
cobranca.caixa.gov.br,"Could not resolve host: cobranca.caixa.gov.br"
cascavel.pr.gov.br,"Could not resolve host: cascavel.pr.gov.br"
coafnet.fazenda.gov.br,"Could not resolve host: coafnet.fazenda.gov.br"
cit.caixa.gov.br,"Could not resolve host: cit.caixa.gov.br"
cidadao.axixa.ma.gov.br,"Could not resolve host: cidadao.axixa.ma.gov.br"
cidadaoonline.saojosedosquatromarcos.mt.gov.br,"Could not resolve host: cidadaoonline.saojosedosquatromarcos.mt.gov.br"
conlegis.planejamento.gov.br,"Could not resolve host: conlegis.planejamento.gov.br"
ciscoasa01.presidencia.gov.br,"Could not resolve host: ciscoasa01.presidencia.gov.br"
alvarenga.mg.gov.br,"302"
consignacoes.prefeitura.sp.gov.br,"Could not resolve host: consignacoes.prefeitura.sp.gov.br"
bhissdigital.pbh.gov.br,"403"
chat.prodesp.sp.gov.br,"Could not resolve host: chat.prodesp.sp.gov.br"
cgu.gov.br,"302"
cancerfamilial.inca.gov.br,"404"
certificados2.serpro.gov.br,"SSL certificate problem: unable to get local issuer certificate"
cmbhub1.casadamoeda.gov.br,"Could not resolve host: cmbhub1.casadamoeda.gov.br"
blumenau.sc.gov.br,"302"
cmbhub2.casadamoeda.gov.br,"Could not resolve host: cmbhub2.casadamoeda.gov.br"
conectividade.caixa.gov.br,"Could not resolve host: conectividade.caixa.gov.br"
cert01.fazenda.sp.gov.br,"302"
cadastrodeusuario.caixa.gov.br,"302"
consigna.go.gov.br,"Could not resolve host: consigna.go.gov.br"
contaspublicas.caixa.gov.br,"Could not resolve host: contaspublicas.caixa.gov.br"
conteudobiblioteca.planejamento.gov.br,"Could not resolve host: conteudobiblioteca.planejamento.gov.br"
concedi.receita.fazenda.gov.br,"Could not resolve host: concedi.receita.fazenda.gov.br"
conectividadecaixa.caixa.gov.br,"Could not resolve host: conectividadecaixa.caixa.gov.br"
acessoexterno.cmb.gov.br,"Connection timed out after 3000 milliseconds"
acessovpn.mme.gov.br,"Connection timed out after 3000 milliseconds"
conteudodoservidor.planejamento.gov.br,"Could not resolve host: conteudodoservidor.planejamento.gov.br"
conteudoclippingmp.planejamento.gov.br,"Could not resolve host: conteudoclippingmp.planejamento.gov.br"
acessoseguro.tcu.gov.br,"Connection timed out after 3001 milliseconds"
conteudocatalogo.governoeletronico.gov.br,"Could not resolve host: conteudocatalogo.governoeletronico.gov.br"
acesso.serpro.gov.br,"Connection timed out after 3000 milliseconds"
act.serpro.gov.br,"Connection timed out after 3000 milliseconds"
conteudoforumspoa.planejamento.gov.br,"Could not resolve host: conteudoforumspoa.planejamento.gov.br"
conteudomnnp.planejamento.gov.br,"Could not resolve host: conteudomnnp.planejamento.gov.br"
controladoriageralbens.prefeitura.sp.gov.br,"Could not resolve host: controladoriageralbens.prefeitura.sp.gov.br"
agf.campinas.sp.gov.br,"Connection timed out after 3000 milliseconds"
agencias.aneel.gov.br,"Connection timed out after 3001 milliseconds"
consulta.tce.sc.gov.br,"403"
analisador.tcm.ba.gov.br,"Connection timed out after 3002 milliseconds"
apl.sefaz.es.gov.br,"Connection timed out after 3001 milliseconds"
aplicacao.mp.mg.gov.br,"Resolving timed out after 3000 milliseconds"
aplicativos.eletrosul.gov.br,"Resolving timed out after 3000 milliseconds"
aplicativos.tcu.gov.br,"Connection timed out after 3001 milliseconds"
app.informs.conder.ba.gov.br,"Resolving timed out after 3000 milliseconds"
app.sefaz.es.gov.br,"Connection timed out after 3000 milliseconds"
app.sefa.pa.gov.br,"Connection timed out after 3001 milliseconds"
aplicativos.pgr.mpf.gov.br,"Resolving timed out after 3000 milliseconds"
apps.sulgas.rs.gov.br,"Connection timed out after 3000 milliseconds"
appo.campinas.sp.gov.br,"Connection timed out after 3002 milliseconds"
appnfc.sefa.pa.gov.br,"Connection timed out after 3000 milliseconds"
appweb.mp.sp.gov.br,"Resolving timed out after 3000 milliseconds"
aroucad.unasus.gov.br,"Connection timed out after 3000 milliseconds"
ciga.sc.gov.br,"307"
correio.cultura.gov.br,"Could not resolve host: correio.cultura.gov.br"
conteudo.servicos.gov.br,"Could not resolve host: conteudo.servicos.gov.br"
codigodebarras.prodemge.gov.br,"403"
