hostname,http_status,mx
medst.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx06.statens-it.dk.
midttrafik.dk,200,0 midttrafik-dk.mail.protection.outlook.com.
militaernaegter.dk,HttpConnectTimeoutException: HTTP connect timed out,5 mail.webhotel.net.
mitid.dk,301,5 mx06.statens-it.dk.; 10 mx05.sitnet.dk.; 5 mx04.statens-it.dk.; 10 mx06.sitnet.dk.; 5 mx08.statens-it.dk.; 5 mx01.statens-it.dk.; 10 mx04.sitnet.dk.; 5 mx02.statens-it.dk.; 5 mx03.statens-it.dk.; 10 mx08.sitnet.dk.; 10 mx01.sitnet.dk.; 5 mx07.statens-it.dk.; 10 mx03.sitnet.dk.; 5 mx05.statens-it.dk.; 10 mx07.sitnet.dk.; 10 mx02.sitnet.dk.
motorst.dk,200,10 motorst-dk.s-v1.mx.microsoft.
moviatrafik.dk,HttpConnectTimeoutException: HTTP connect timed out,0 frontmta.hostedsepo.dk.
mst.dk,301,10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx06.statens-it.dk.
naevneneshus.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.
nationalbanken.dk,301,10 nationalbanken-dk.mail.protection.outlook.com.
naturstyrelsen.dk,200,none
naviair.dk,301,20 naviair-dk.mx2.comendosystems.net.; 10 naviair-dk.mx1.comendosystems.com.
ngc.dk,301,5 ngc-dk.u-v1.mx.microsoft.
nimbi.dk,302,10 nimbi-dk.mail.protection.outlook.com.
niph.dk,HttpConnectTimeoutException: HTTP connect timed out,0 niph-dk.x-v1.mx.microsoft.
norden.org,301,0 norden-org.mail.protection.outlook.com.
nordjyllandstrafikselskab.dk,301,0 Nordjyllandstrafikselskab-dk.mail.protection.outlook.com.
nsbv.dk,200,20 nsbv-dk.mx2.comendosystems.net.; 10 nsbv-dk.mx1.comendosystems.com.
oes.dk,200,10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.
oscepa.org,HttpConnectTimeoutException: HTTP connect timed out,30 aspmx3.googlemail.com.; 10 aspmx.l.google.com.; 30 aspmx2.googlemail.com.; 20 alt1.aspmx.l.google.com.; 20 alt2.aspmx.l.google.com.
pal-emb.dk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching pal-emb.dk found.,10 mx.simply.com.
pet.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mail2.politi.dk.; 10 mail1.politi.dk.
plst.dk,301,10 mx07.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.
politi.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mail1.politi.dk.; 10 mail2.politi.dk.
